IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
590140105,sud ouest,59014,Anzin,24.4,49.1,6000.0,13310.0,19440.0,1.01,490.0,4400.0,7310.0,10220.0,15320.0,18180.0,21380.0,27110.0,55.3,23.7,0.417,62.6,56.3,4.8,1.5,36.0,1.4,0
590140106,sud,59014,Anzin,35.1,40.2,9030.0,15470.0,22200.0,0.85,2860.0,7470.0,10330.0,12950.0,17370.0,20340.0,24080.0,30260.0,10.6,11.7,0.377,72.7,66.6,3.5,2.6,25.1,2.2,0
590170102,Prés du Hem,59017,Armentières,32.0,39.7,8560.0,15780.0,21610.0,0.83,3000.0,7040.0,9890.0,12980.0,17810.0,19970.0,23490.0,28320.0,9.4,10.6,0.349,71.2,66.1,4.4,0.7,26.3,2.5,0
590170103,Quartier Salengro,59017,Armentières,35.3,43.1,7950.0,15320.0,22740.0,0.97,2430.0,6490.0,9370.0,12020.0,17910.0,20720.0,24260.0,29380.0,12.1,13.5,0.39,74.7,69.4,3.4,1.9,22.4,2.9,0
590170201,Bizet 1,59017,Armentières,34.5,37.2,9670.0,16140.0,22440.0,0.79,4140.0,8100.0,10970.0,13590.0,18290.0,21020.0,24060.0,28190.0,6.8,7.6,0.323,67.2,62.6,3.8,0.8,29.9,2.9,0
590170202,Bizet-Léo Lagrange,59017,Armentières,42.3,26.5,12570.0,19310.0,25010.0,0.64,5950.0,10520.0,14140.0,17170.0,21410.0,23670.0,26810.0,32090.0,5.4,6.6,0.302,73.0,69.0,3.1,0.9,24.6,2.4,0
590170303,Route d'Houplines 3,59017,Armentières,31.3,48.1,6040.0,13370.0,20830.0,1.11,0.0,4390.0,7450.0,10660.0,15590.0,19140.0,23400.0,28770.0,,32.6,0.43,68.1,60.3,5.1,2.7,29.2,2.7,0
590170304,Route d'Houplines 4,59017,Armentières,29.1,36.8,8100.0,16360.0,21020.0,0.79,2460.0,6260.0,10450.0,13880.0,18110.0,20150.0,22290.0,25900.0,10.5,12.4,0.346,75.3,68.9,4.0,2.4,22.4,2.3,0
590170305,Route d'Houplines 2,59017,Armentières,36.7,36.1,10050.0,16470.0,22720.0,0.77,4000.0,8210.0,11200.0,14050.0,18950.0,21500.0,24690.0,29610.0,7.4,9.0,0.351,73.6,66.5,3.8,3.3,23.7,2.7,0
590170401,Centre République 1,59017,Armentières,27.4,44.4,8270.0,14770.0,21320.0,0.88,2240.0,6460.0,9480.0,12060.0,17190.0,19670.0,22960.0,27140.0,12.1,11.0,0.364,63.7,57.2,5.0,1.5,34.4,1.9,0
590170402,Centre République 2,59017,Armentières,36.4,36.6,9360.0,16540.0,24580.0,0.92,2660.0,7540.0,10710.0,13970.0,19220.0,22620.0,27200.0,34820.0,13.1,14.8,0.418,69.8,63.0,4.3,2.5,24.5,5.7,0
590170403,Centre République 3,59017,Armentières,43.7,30.6,10810.0,19200.0,27900.0,0.89,4620.0,9130.0,12850.0,16130.0,22290.0,25460.0,30720.0,41460.0,9.0,13.2,0.432,58.8,51.7,2.7,4.4,32.4,8.8,0
590430101,Saint-Vaast,59043,Bailleul,51.7,19.5,14980.0,21600.0,28620.0,0.63,8880.0,13430.0,16590.0,19510.0,23690.0,26310.0,30760.0,37550.0,4.2,5.3,0.302,65.4,57.9,2.8,4.7,30.2,4.4,0
590430201,pre aux chenes,59043,Bailleul,48.0,20.8,14670.0,20830.0,26690.0,0.58,7970.0,12810.0,16120.0,18850.0,22880.0,25220.0,28710.0,33370.0,4.2,5.5,0.29,61.1,55.6,2.6,2.9,33.6,5.3,0
590430301,sud,59043,Bailleul,,,15710.0,22220.0,28610.0,0.58,9220.0,13940.0,16980.0,19830.0,24160.0,27310.0,30050.0,38050.0,4.1,5.0,0.287,69.1,61.4,2.4,5.3,25.1,5.8,0
590430401,Centre,59043,Bailleul,48.8,20.3,14710.0,20700.0,27740.0,0.63,8720.0,12900.0,16000.0,18380.0,23290.0,26010.0,29410.0,35540.0,4.1,5.4,0.306,64.0,58.3,2.9,2.8,31.3,4.7,0
590430501,nord,59043,Bailleul,56.6,14.3,16850.0,23520.0,31810.0,0.64,9930.0,15340.0,18350.0,21000.0,26190.0,29670.0,34380.0,41910.0,4.2,5.3,0.312,69.5,61.2,1.9,6.4,24.8,5.7,0
591120101,trois au bois,59112,Bruay-sur-l'Escaut,,,4940.0,11030.0,17320.0,1.12,10.0,3520.0,6260.0,8820.0,13140.0,15860.0,19570.0,23550.0,2747.6,27.0,0.422,62.2,53.8,6.6,1.8,34.5,3.3,0
591120102,rocquignol,59112,Bruay-sur-l'Escaut,33.4,38.4,8990.0,16640.0,23000.0,0.84,3560.0,7600.0,10610.0,13340.0,19370.0,21690.0,24710.0,30270.0,8.5,9.8,0.363,67.8,61.8,3.5,2.5,28.8,3.4,0
591120104,Centre,59112,Bruay-sur-l'Escaut,36.3,35.2,9960.0,16440.0,22580.0,0.77,3910.0,8550.0,11540.0,13990.0,18270.0,20820.0,24270.0,29500.0,7.5,8.2,0.332,67.1,62.2,3.5,1.4,29.2,3.7,0
591120105,haultiere,59112,Bruay-sur-l'Escaut,26.5,46.8,7200.0,13740.0,21870.0,1.07,1200.0,5400.0,8510.0,11120.0,16690.0,19760.0,23620.0,27810.0,23.2,16.8,0.389,64.2,56.9,4.8,2.5,33.1,2.7,0
591120106,Le Marais Foucart,59112,Bruay-sur-l'Escaut,28.7,46.2,7510.0,13910.0,21160.0,0.98,1930.0,5700.0,8960.0,11180.0,16560.0,19740.0,22660.0,27620.0,14.3,14.0,0.384,70.5,62.0,4.9,3.6,27.4,2.1,0
591220101,Cambrai 1,59122,Cambrai,37.7,34.2,10440.0,17490.0,25560.0,0.86,4130.0,8970.0,11900.0,14530.0,20450.0,23630.0,28020.0,35710.0,8.6,11.3,0.396,65.5,56.7,3.7,5.1,28.6,5.9,0
591220102,Cambrai 2,59122,Cambrai,34.2,40.0,8050.0,15820.0,23050.0,0.95,2460.0,6470.0,9890.0,13000.0,18400.0,21140.0,26010.0,31730.0,12.9,13.9,0.402,66.0,57.4,5.2,3.4,30.9,3.1,0
591220103,Cambrai 3,59122,Cambrai,37.6,34.1,10090.0,16930.0,23750.0,0.81,3020.0,8200.0,11840.0,14880.0,19300.0,22300.0,26050.0,32400.0,10.7,11.3,0.361,64.1,57.9,3.8,2.4,33.4,2.5,0
591220104,Cambrai 4,59122,Cambrai,,,7270.0,14240.0,21840.0,1.02,1160.0,6070.0,8870.0,11660.0,17110.0,19970.0,23340.0,28330.0,24.4,15.2,0.393,73.6,65.6,5.7,2.3,23.9,2.5,0
591220105,Cambrai 5,59122,Cambrai,,,13630.0,19080.0,24900.0,0.59,8290.0,12170.0,14740.0,17180.0,20600.0,23090.0,26010.0,31020.0,3.7,4.7,0.27,55.0,51.5,2.4,1.1,42.6,2.4,0
591220106,Cambrai 6,59122,Cambrai,41.1,31.8,10870.0,17600.0,24620.0,0.78,5500.0,9190.0,12380.0,15250.0,20400.0,22720.0,26050.0,31780.0,5.8,7.0,0.321,58.3,52.6,3.5,2.2,39.5,2.2,0
